Review,Rating,Target
"We were very impressed by entering the Hotel, unfortunately this changed when we had a bottle of Wine in the bar. There was no service for about 45 minutes, we were ignored, even if we complained once.  We had to pour in the wine ourselves and the staff always passed us, but did not ask if everything was okay. Then we complained again and asked for a manager. Nothing happend.  We had to tell the staff 4 times that we would like to pay and finally the check arrived.  On our way out the Resident Manager showed up and apologized for everything, very kind and professional...we thought.  He asked us to contact him and send a note to him and he would talk care of a refund. We did so but nothing happend, there was no response to us..again.  Therefore it shows from the staff up to the",1,1
"In corridors for hours sitting people who strangly watch customers entering hotel. The hotel is dark, breakfast is of poor quality. Belboy at the entrance asking guest about their nationality. Cosmetis old , not those which should be according new concept. No access to films for children(pay tv). Better choose another hotel.",1,1
"Beautiful property with great location.  Modern with the best technical equipment. Return after 3 years , unfortunately a huge dissapointment. Luck of staff, care for details, care for customer. No proper cleaning of the room, an attempt  to add extra charges for breakfast by employee. Some staff pretend not see you or look away when passing you in the lobby. Even a problem to arrange a taxi from the hotel. It is obvious that the brand Peninsula has abandoned hotel in Paris. Peninsula is withering like the flowers in its windows. We will not return.",2,1
"We stayed at the Peninsula December 31-January 5. We booked through Amex Fine hotels and resorts. From experience at other luxury hotels I would Say this Hotel was mediocre. Pros: The hotel itself is beautiful. the hotel lobby, dining areas, and bars are just lovely. The Receptionist were very nice and always attentive. The room was large and spacious. The breakfast was always very good and lots of options. we tried them all. the restaurants  in the hotel all were top quality and very good food. the complimentary car service when available was nice as well. Cons: the concierge were just horrible. I would say because of the concierge alone I would NOT stay again without some sort of compensation. Mostly, Some members either would not do what you ask because they said it was not",2,1
I was in Paris for one day for business. And I booked at the peninsula Paris. I was on a very tight schedule. I arrived a head of the check in time in about 2 hours  and I scheduled   Everything accordingly But what I didn't plan for was the extra 2 hours delay!!  I was exhausted. And I had appointments to attend. When I inquired at the  front desk about  when can I check in and if my room was ready they said in about 15-min. 15-min turned in to 2 hours !! The staff was  completely inattentive and unprofessional!completly! Due to this delay I had to reschduelle my appointmnts and extend my stay in Paris for couple of days. I checked out first thing in the morning and changed the hotel .Very terrible. Experience.,1,1
"On a recent visit to The Peninsula, me and my party wanted to enjoy a cocktail on the rooftop bar. The downstairs staff was rude, and the staff on the rooftop were worse. We were speaking English and maybe they just assumed we were Americans. We are not. We were a party of 3 woman, 1 from Germany, 1 from Scotland and myself from Milan. They gave us grief about going up in the elevator to the bar (my friend had 700 Euro velvet Prada sport shoes on. They apparently were not nice enough. We had to return the next day with nicer shoes on! When we were finally let up to the rooftop bar, not only was the staff rude, the tables were not clean. The restroom was not clean. And the drink I ordered was definitely not the top shelve drink that was promised. We ended up leaving and going to",1,1
"Mixed race (Chinese and Caucasian) couple arrived at the hotel in t-shirts but tidily dressed.  We were literally blocked by the doorman who refused to let us enter, demanded to know why we were there and wanted to search our bags.  After finally reaching check-in and reporting this to the hotel, the front desk staff apologised and he was removed from the door shortly afterwards.  We thought that was the end of the clearly hostile treatment ... it wasn't.  That evening we went up to the restaurant (which was recommended by the front desk) at 10pm to get dessert (after a meal outside the hotel).  Once again tidily dressed, we were again intercepted, this time by the restaurant doorman who responded ""no"" when we asked what time the restaurant closed.  When questioned he repeated",1,1
"The hotel is beautiful.  However, service is a major disappointment and not up to 5 star standards. We stayed at Claridges in London which is a world of difference.  At the Peninsula, maid service missed cleaning and turndown several times, plates left in our room for days, toiletries and soap not replaced, doorman rarely was present to open front doors for the ladies, room was not ready in time.  When we returned the first evening, they could not find our keys.  Our bags were still at bellhop and were not delivered to rooms promptly.  Concierge was helpful but relatively ordinary, nothing great.   No personal care, you feel like just a number in a big hotel not truly like a guest.  Never offered the house cars at all.    On the plus side, the rooms are very nice.  We had two",2,1
"Overall the at this Peninsula is NOT to the standard.  I have stayed at the HK, Bangkok and Chicago Peninsula; several times. The worst of all was the e122 for terrible breakfast. I don’t mind paying for quality. But this much money for what we got and then it was not only bad service but the food choices were confusing and very limited and the service was very slow.  Not to mention that they had the door to the patio open and flys were landing all over the fruit presentation.  I told the staff several times but they seen not interested.",1,1
"Pros: Spacious room, understated taste of decor, and daily fruit platter. The rooftop bar is a fabulous spot for a great view of the Eiffel Tower. Civilized hotel staff.  My photos are flattering I know.   Cons: The Peninsula Paris boasts of its techs, but to my dismay, some malfunction in critical moments.  The printer/fax machine in my superior room (214) crashed the evening before my check-out and the tech department could hardly fix the mayhem after sending two engineers and messed up the studio. Fortunately, the laser printers in Business Center did function and the crisis resolved. Our dinner was thus delayed and the evening ruined.  WiFi initially did not work on one mobile device shortly after check-in, and an engineer was sent for 90 mins later. The connecting issue",2,1
"I stayed here at the start of this year and really enjoyed it.  However, I have just spent longer there and the service and staff were consistently bad.  Front desk staff who couldn’t even sort out my bill (basic) very quickly.  Also, I don’t particularly 4 staff “hanging around” in the spa while I use the gym (I was the only person in there).  But then they couldn’t make my room up when requested, nor bring the simplest of breakfasts in under 30 mins.  I will not be going back.",2,1
"Come to Paris join the chanel Haute couture show 18/19. I booked the peninsula Paris for 3 nights through Amex centurion service. the hotel location is good and the room is clean. I tried the roof top restaurant, the food and the servce is good as well. However, the concierge service of the hotel is much below expectations. I asked the lady name Vanessa from concierge to inform me when they receive the chanel show invitation card. However, the concierge totally forgot to inform me that they have received the stuff from Chanel. As a five star luxury hotel, I don’t think this poor service is acceptable. I feel that the hotel concierges is very messy.",1,1
It’s a beautiful hotel don’t get me wrong however for the price you pay you definitely do NOT get the service you deserve. Go to Four Seasons George V or Plaza Athenee instead. Some staff just seem like they can’t be bothered. But what really ticked me off was the doormen/bellboys seeing me get out of the car with paper bags and in need of help but they turned to continue talking to one another.,1,1
"I had a slew of mishaps at this hotel but I don't think it would have happened to everyone so I am not going to make a long post of what happened. In any case for this price point I was expecting to be wowed but I was not and on top of that I had mishaps that should never happen at a high end hotel like this or any hotel for that matter. Just one small example was I called reception and no one picked up. Finally I reached an operator who said reception was busy and would call me back...30 mins later no one returned my call so I called back. After having my matter handled by reception I asked for some packing material. Instead of taking care of it or even transferring me, they asked me to call concierge myself, mind blown. The bigger matters were quite ridiculous, for example our",2,1
Amazing hotel in a quiet neighborhood however the service was spotty and sometimes hostile and rude  I really wanted to give this hotel a higher rating but the hostile attitudes of some staff members prevented that- particularly as the hotel charges ultra premium rates and should therefore provide corresponding service  Pros +amazing room with top notch in-room interior design and layout  +great doormen and service staff  +concierge is very helpful however still cannot get a reservation at any restaurant- which is disappointing since one would expect this   +former conference center for the French government (however has been renovated)  +amazing rooftop view of the Eiffel Tower  +breakfast at the Peninsula is the place to be seen!  +10-15 minute walk to the Eiffel Tower and 5,2,1
"Where to start? We stayed here from June the 1st to June the 5th 2015. It was the end of our honeymoon and we were so excited to be staying at The Peninsula in Paris, considering is the most expensive hotel in the city we had huge expectations. Cant complain of the installations because the interiors are spectacular, the rooms are nice and the food is pretty good. We were in love and happy with the selection of the hotel, until we GOT STOLEN FROM OUR ROOM.   We thought we had put all the valuable things on the safety box, but remembered we had each one a gold chain on our personal bags.On the pocket of my big travel bag (which remained on the room chair during the whole stay. I wasn’t using it while around Paris) it was hidden a GOLD/DIAMOND ‘CARTIER’ LOVE CHAIN  and on my",1,1
"We have stayed in many Peninsula resorts, and have never had such a horrible experience as we did during our 10 day stay at the Peninsula Paris.  Let me start by saying the hotel itself is beautiful--but that's where the magic ended. From the first day we checked in, we had issues with our keys. One hour they would work and the next they wouldn't--this is maddening since you need your key to access the elevators. Many complaints, but it was never completely fixed.   They had a complete disregard for our special requests (which you pay a hefty price for)--we were celebrating a birthday and ordered flowers to be delivered to the room morning of.... they didn't show up until nearly 9:00 that evening, and only after we inquired where they were. We also ordered a plain white cake for",1,1
"While Peninsula Paris has an amazing, detailed buildout, staying there was an awkward, soulless experience that I wouldn’t want to repeat. In many senses, there is a mausoleum-like atmosphere of cavernous public spaces and minimalist style rooms that felt both high-end and antiseptic at the same time.  Despite the hotel being brand new, unfortunately the furniture in my room was already falling apart (see picture), and I have never seen a brand new bathroom vanity so stained (see picture). The water pressure is inadequate to have a great shower, and the lobby restaurant was so warm and fetid (and generally empty) as to be distinctly unpleasant. The staff suggested after-work drinks in the rooftop l’Oiseau Blanc for drinks with a beautiful view over Paris, but we were seated in a",2,1
"Touted as a 800m Euros hotel !  Appeared to look grand, but on closer look, the details are very poor and with cheap substitutes.  In one of the lobbies, they used concrete wall painted with white lines instead of real lime stones, uses faux pas column instead of real marble. The chandeliers looks really flimsy and cheap, and the Chinese restaurant is so theatrically cheap looking too. It does not befit the great name of Peninsula Hotels.  What a let down.",1,1
We had made a reservation at the Peninsula Paris which went fine through the website. We then tried to make several restaurant reservations in the hotel. We were connected to the restaurants but no one picked up the phone. We then spoke with front desk and we were put on music hold for at least fifteen minutes. We then resorted to make a reservation by email. This was Thursday for a Tuesday night reservation. No reply. By Monday we canceled our hotel reservation to the Mandarin Oriental. Upon inquiring why we had cancelled our reservation we politely expressed our disappointment with their attention. We received an email that this was their standard service level.   Ouch...  I am sure the management of this excellent hotel chain will make the necessary adjustment to bring the,1,1
"I recently stayed in this hotel during Sptember 2014 after reading all the positive reviews on trip-advisor.  One word...HORRIBLE..!  It is admirable only outside.  The service I received was rude corresponding.  First of all,  It takes 90 minutes to check in at the lobby.  Reason is that with because there was a late check-out.   What also does not correspond to an electrical problem in the room.  Electricity did not work in the room.  They told me the technician will come on the phone, but it came after all it was two days later.   Room service(In room dining) will not come on time that I expected time.  I was kept waiting for a long time.(45minutes). We have finally got it reminds.  However staff that was brought was spilled drink. He forgot also butter and jam.  I did not",1,1
"The building is a landmark, amazing, and the multimillion USD renovation has transformed this old conference center into an masterpiece building. BUT: no soul, empty lobby, a terrible corridor with low quality brand shops, it looks like we are in a trainstation...   AND a service that is just...surprising. Front desk was supposed to let us visit different rooms. We waited 30 minutes in the lobby, after having been told by the night director that we would visit the rooms. 30' later, someone came saying unapolegetically ""the hotel is 100% booked, we cannot let you visit"". After having spent 2000 USD at the restaurant and waited 30m, I was expecting more. Wont come back.",1,1
"I stayed at this hotel in November 2018. Not suitable for international traveler.  Check in: Arrived late in the evening to check in but the receptionist showed no courtesy or tried to be friendly at all. So, first impression was below average.  Room: There was stain on the sheets. No shower curtains so the floor was just wet everytime after a shower. Couldn't turn on the AC and the hotel was just roasting me. Next morning, I tried to ask for a room with at least shower curtain... Unsurprisingly, they do not have one. The only redeeming point is the friendliness of the day night receptionist.  Breakfast: Food was mediocre. Couldn't even bother to label what type of meat were the charcuterie.  Overall, wouldn't recommend this hotel. Given the experience, would rather pay more for",1,1
